rating,content
2,"Quicken should be a standalone, resident-on-my-computer software. I should NOT have to log in to Quicken via the internet EVER if I don't want to. Updates, patches and bug fixes, sure. But for ordinary use, no. It raises suspicion about what Quicken is actually downloading from me. I don't like it, I don't want it and I should be able to turn it off. The ""subscription model"" sucks. Cut it out."
5,One step updates make it easy to keep accounts up to date
3,"Lately something is wrong with the interface with Truist.  When I reconcile (sometimes, not all the time), Quicken is bringing in duplicated records or records that should have pulled into a different account.  This causes me hours of going back in and manually reconciling until I get the correct balance."
5,For several years Quicken software has helped me keep track of my finances securely and helpfully at a reasonable price
5,Long time customer.
5,"Have been using Quicken for over 15 years. While not using a lot of the enhanced features, using as a checkbook and budgeting tool has greatly enhanced my ability to manage my finances."
5,love it. makes calculating my taxes so much easier
5,"Quicken is extremely well planned and laid out so it's very easy to use.  I love the main page which shows a list of your asset and liability accounts down the left side of the page, along with their balances, while the center page shows the transaction register for whatever account you chose from the left side of the page.  Even while Quicken is easy to use, it is very flexible and can record and immense amount of details.  Reports are easy to generate and can be customized a lot to fit your needs.  Quicken downloads all transactions from my financial institutions and reconciles them to my registers for me.  And Quicken transmits all my payments to vendors electronically and seamlessly with my bank.  And Quicken has a lot of other great tools, like the Calendar, Tax Planner, Memorized Payees, Electronic Payees, etc."
5,"I have been using Quicken for decades for tracking home and small business finances.  It is easy to download financial data into Quicken, and for doing taxes it is easy to export data from Quicken into TurboTax."
5,I've used Quicken for years as a Realtor. The program is user friendly and reports are easy to set up. I don't need all the bells and whistles it offers but it's nice to know it's available.
5,I have enjoyed using quicken since 1998.  I am happy with the updates.  I am happy that they have a sensitiveTechnical Support.  It is essential!!!
5,"I have been using Quicken for almost 20 years, and have all my financial information in one place. Love it!"
1,Unable to download transactions.  Tried on app and web   Tried on tablet and a computer
4,Web based downloading was easy. The yearly price is a little steep.
3,"Mostly OK, but often difficult to get input to sync when inputting from 2 locations, and that is frustrating."
3,I have never seen a software package such as Quicken applies all debits before the credits.  That doesn't or shouldn't be how it should be in my training.Thank you.
5,"I cant remember m;uch about my last encounter with quicken was but I know everytime I get help its wonderful, problem solved  and education on why it occurred.. always happy. thanks"
2,Very expensive now that it is subscription based.  Quick links often needs reaettjng
4,Solid support and understandable features.
5,Your expert technicians have never failed to pull me out when I get in trouble.
3,"I always have trouble updating my checking account at PNC. The software does not show the right deduction name, so I must change it manually."
5,"I have the version that lets me do the least, but is perfect and I love it.  Recommend to lots of folks.  I have not had a lot of problems, but when I do, help is there for me and that is the most important thing."
5,"Excellent Customer Service, attention to detail and timely updates."
5,Always enjoy using this product.  It works well and is quite easy to use if one is familier with the navagation paths one wants to use.  A new user can be overwhelmed by some of the options to navigate.
1,I need to transfer program to a  laptop  from a desktop and I can't get any information on how to do this.
4,"I love Quicken, but I can’t understand why it doesn’t seamlessly handle Roth Conversions and even IRA withdrawals in retirement. Cmon!"
5,It's a program that helps me keep track pf my finances in one place with many features I frwuently use.
4,"I use quicken on a daily basis.  It provides a quick and easy way to review finances, purchases, and holdings.  Quicken is a fundamental factor in identifying unusual charges and purchases which is a key component for identifying scams and fraud.  Close to real time detection facilitates fast resolution and enhances protection."
5,System works very well for our needs.  Over the years there have been many improvements to Quicken that I have appreciated.
3,"I use Quicken for our personal/household use.  Sometimes, I will input something (e.g. a charge on a credit card) but, instead of simply adding the total to the balance, for example, but it comes up with a completely different number.  No matter what I do, I can't get it to do what I want.  For example, if I have a balance of five and the next charge is one, it should say the new balance is six.  Instead, it will say 2 or 9 or 15.  No rhyme or reason to any of it.  I end up having to add a ""correction"" to get the program to agree with the correct totals. Any ideas?"
2,"The program keeps telling me every time I start up and try to download transactions from chase I need to update my connection with them, it is irritating and takes me a long time to resolve.  Also the fact that I now have to manually pay bills outside of Quicken is also another big negative, if I knew of an alternative program from Quicken I would probably use it."
3,Some things are just confusing without clarity on what to do even on simple return
5,
5,"Easy to use, and keep me organized"
3,"I have used Quicken to create and generate budget reports for over 20 years. This year quicken is adding lines in the budget I create labeled 'Everything Else"". This is unacceptable. I create and control the budget and Quicken should not add anything to a budget that I create.  I reported this last month and again this month and have not heard back. I would like to know when this will be fixed. It is creating unnecessary work for me to edit reports after generating them in Quicken. If you can’t fix this issue can you suggest another finance software I can move to that is more stable?"
3,Why can't Quicken remember categories for repeat payees?
3,The basic function of downloading transactions from institutions has gotten less and less functional as you add new elaborate functions ... the main purpose for which I use Quicken has gotten less beneficial as the price goes up
3,"Too many glitches, it seems The accounts need resetting far too often."
4,Your Techs are amazing. I have been using Quicken for a long time. I think you need to reach out to some of the Banking institutions and figure out how to make both of the systems compatible with each other. I have to manually enter transactions from TD Bank. Thanks
3,Sometimes very buggy.
4,It does what I need.  Just that simple.
3,I don't think the value I am receiving from this product justifies the annual fee we all must pay now.
5,Quicken allows me to easily download and process records from several financial accounts. It also allows me to create several different reports and to customize them to show only the information I want.
5,
3,Had issues with where the file was located.. Need to have more flexibility or better direction on where to put it
3,"After years of using Quicken I know can no longer reconcile my account. To be honest, I am not an accountant, but I have not had this trouble in the past. I am considering going to Quick books and starting over I am so frustrated."
2,"Bill paying in general continues to have issues.  I have a utility for whom I constantly get ""we're waiting for your most recent statement"" or some such thing on Quick Pay.  Fortunately, I still get the paper copy, and ultimately just pay from that.I also had credit card bill that I pay with Check Pay.  Earlier this year, my payment didn't get there until a month later than I specified.  Got charged late fees and interest.Both of these are ongoing issues, though that last was exceptionally bad.  I considered going to a lower-service level with Quicken, so I didn't have to pay for bill paying, and just do it through my bank (free).  But, there are enough other features that I'd miss that I decided not to.  At some point, I may just look at moving off Quicken altogether, after over thirty years!"
5,"I have been using Quicken for quite a few years, and I am thoroughly happy with the performance of this item. It keeps my banking and investments right at hand so I can see everything at once.  Love it."
4,
4,"Quicken helps me with all my bills and finances. One problem I have is when updating, my program will not show Menards name on purchases on Wells Fargo and Discover cards. I still recommend Quicken to my family."
5,I have used Quicken since it first came out. Allows me to budget and save effectively.
3,Overall a useful tool.  Too many quirks that make it very difficult at times to maneuver around
4,"Once things are set up, the system is pretty reliable."
5,
3,Too expensive.  Account update not reliable.
3,"Bugs never get fixed.  Improvements are minimal, yet I'm still being charged rent on this software."
2,I ask every year I renew quicken to have Schedule E categories in the drop down list when writing checks and classifying expenses. Every year Quicken ignores my suggestion.
1,I can not call to help with questions. I have to use the online messaging which is nice but that does not always help and took twice as long to solve. Back when I had help on the phone they were so friendly and help right away because they could understand what was going on.
3,
5,So easy to use and place images of documents in one place. It's a great product.
5,Keeps all assets available for review
5,Have been a user for decades. Always quick and easy to use.
3,It is so so. I haven't been using it too much because it is not always helpful.
3,latest update will not install and instructions do not fitas when i try to go to next step it shuts down   not giving me access to options to install
2,"About once a year I get a message that I need to set up the authorization with my bank to allow downloads.   Every time I do this,  and it's always for Citi credit card,  it makes me reset the account which loads it as a new account and it restored ALLtransactions going back years.   I have to manually identify them and remove them.   It also screws up my reconciling.   It is a major undertaking.   Everything else works great,  but this."
3,"quicken slowly improving Mac versionFeatures that were standard in the mid 2000s are finally seeping back into quicken. For a number of years, quicken was quite unappealing but there were few alternatives and switching was time consuming. The U.I. could use improvement but stability is much better."
3,Difficult to use the budget. Difficult to get help.
4,
3,difficult to speak with live animalcomputer not very charming
3,
1,"Over charged my account by $1,500Had to spend about  5-6 HOURS on the phone just to TRY to fix itCustomer service is ""out of the USA""It's a mess....Beware"
3,Not satisfied when logging back in does not go to latest entries.
5,"We have been using Quicken,  since it 1st came out  so many years ago. Never disappointed us."
5,
2,My computer crashed and I was unable to get my data because quicken is not cloud base. Absolutely unacceptable.
1,"Let's start with ""what went wrong this time""."
5,
5,"I was able to make one phone call to get my problem solved, and it was solved immediately.  Great service."
5,A must have for financial tracking for me for 20years now.
5,"Ideal for maintaining budget, cash flow, spending and tax records.  Been a long-time user and found great value in comparative records over the years.  Great product that keeps improving."
5,"I have had experiences the past few months with two financial institutions that we virtually no help in fixing the problem getting information from investment accounts. Two different gentlemen, who happened to be from Guatemala, stayed with me two help fixed it by identifying the fix to tell the financial institutions."
3,"I've used Quicken since it hit the market. Originally it was great, but after Discover sold the program it seems that with every ""upgrade"" comes multiple problems. The software agreement continues to increase in price but the customer support is almost none existent. Now I am unable to download transactions from my bank into Quicken?! Will they ever get it right?"
3,"I use Quicken Home/Business to do:- register maintenance- downloads- reports (need these for either ""where the heck did my money go"" or tax/expense reports for my corporation.I do not track stocks or what not.  The biggest issue I have with Quicken is the instability of transaction downloading.  It is the bane of quicken, and sorry, I don't want to hear ""it's the banks fault.""  I bought quicken from you - just fix it.Technical note: if most of the time resetting the account works, why not just make that a behind the scenes operation?"
5,Difficult to use.  out dated
5,So user friendly and extremely stable.
1,"I received a renewal notice for Quicken and so I updated my current credit card number. I could not remove the old card due to the limited functionality of the site and no help function. Quicken charged the old card. I emailed for help but did not receive a response. There is only a 650 US phone number and I don't have US calling. I am directed to a public chat page about Quicken Issues when I ""contact"" Quicken. I pay $100 Cdn a year for this and I can't even get any help. Waste of money."
4,
